car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,engine_in_cc,Seats,manufacture,company_name
Jazz Active,130000,90000,Petrol,Manual,3rd Owner,1198,5,2009,Honda
City VX MT,1250000,19000,Petrol,Manual,1st Owner,1497,5,2022,Honda
Corolla Altis G AT,925000,72159,Petrol,Automatic,1st Owner,1798,5,2014,Toyota
Ecosport 1.5 DV5 MT Titanium,590000,78000,Diesel,Manual,1st Owner,1498,5,2015,Ford
Ecosport 1.5 Diesel Titanium BSIV,690000,58000,Diesel,Manual,1st Owner,1498,5,2018,Ford
Ecosport 1.5 Diesel Titanium Plus BSIV,890000,72000,Diesel,Manual,1st Owner,1498,5,2018,Ford
Rover Range Rover Evoque 2.0 TD4 SE,4250000,56000,Diesel,Automatic,1st Owner,1999,5,2018,Land
Micra Diesel XV,290000,73000,Diesel,Manual,1st Owner,1461,5,2012,Nissan
Creta 1.6 VTVT S,890000,28840,Petrol,Manual,1st Owner,1591,5,2016,Hyundai
Swift Dzire AMT ZXI,690000,51500,Petrol,Automatic,1st Owner,1197,5,2019,Maruti
S-Presso VXI Plus AT 2019-2022,480000,41370,Petrol,Automatic,1st Owner,998,5,2020,Maruti
Creta 1.6 VTVT S,875000,41266,Petrol,Manual,1st Owner,1591,5,2016,Hyundai
Verna VTVT 1.6 AT SX Option,990000,31740,Petrol,Automatic,1st Owner,1591,5,2018,Hyundai
Ciaz VXi Plus,615000,77876,Petrol,Manual,1st Owner,1373,5,2015,Maruti
Kushaq 1.5 TSI Style,2050000,9500,Petrol,Manual,1st Owner,1498,5,2022,Skoda
Grand i10 1.2 Kappa Sportz Option AT,625000,28387,Petrol,Automatic,1st Owner,1197,5,2019,Hyundai
M-Class ML 350 CDI,2700000,120000,Diesel,Automatic,2nd Owner,2987,5,2015,Mercedes-Benz
Grand i10 Magna,450000,20000,Petrol,Manual,2nd Owner,1197,5,2017,Hyundai
